Query_Id,Query_Text,Query_Name,Total_Attempts,Successes,Failures,Success_Rate_Percent,Total_Time_Seconds,Avg_Time_Seconds
79,"Calculate the average of numbers: 17, 34, 51, 68, 85",Test 79 - data_analysis,1,1,0,100.00,58.520,58.520
80,"Calculate the average of numbers: 19, 38, 57, 76, 95",Test 80 - data_analysis,1,1,0,100.00,57.090,57.090
81,"Calculate the average of numbers: 21, 42, 63, 84, 105",Test 81 - data_analysis,1,1,0,100.00,56.552,56.552
82,"Calculate the average of numbers: 23, 46, 69, 92, 115",Test 82 - data_analysis,1,1,0,100.00,55.658,55.658
83,"Calculate the average of numbers: 25, 50, 75, 100, 125",Test 83 - data_analysis,1,1,0,100.00,47.933,47.933
84,"Find the factorial of 5 and calculate the sum of all prime numbers from 1 to 20, then find the greatest common divisor of 48 and 18",Test 84 - complex (DUPLICATE),1,1,0,100.00,63.769,63.769
85,"Find the factorial of 5 and calculate the sum of all prime numbers from 1 to 20, then find the greatest common divisor of 48 and 18",Test 85 - complex,1,1,0,100.00,51.950,51.950
86,"Calculate the average of numbers: 100, 200, 300, 400, 500, then find the square root of that average, and finally multiply it by 10",Test 86 - complex,1,1,0,100.00,62.259,62.259
87,"Calculate 15 * 4, then divide the result by 3, and finally add 20",Test 87 - complex,1,1,0,100.00,5.855,5.855
88,"Find the factorial of 6, then calculate 2 to the power of 5, and finally find the sum of both results",Test 88 - complex,1,1,0,100.00,71.274,71.274
89,"Calculate the average of 10, 20, 30, then multiply by 2, and finally subtract 5",Test 89 - complex,1,1,0,100.00,56.141,56.141
